match_kind,match,mass_g,note
id,ammo_nagant,12,патрон нагана
id,ammo_762,16,патрон 7.62
id,ammo_shells,45,патрон 12 калибра
id,ammo_12g_slug,45,пуля 12 калибра
id,ammo_12g_incendiary,45,зажигательный 12 калибра
id,ammo_12g_chemical,45,химический 12 калибра
id,black_market_shells,45,чёрнорыночные патроны
id,ammo_energy,120,энергоячейка
id,rifle_bolt_pack,300,пачка обойм
id,ammo_harpoon,350,гарпун
id,ammo_fuel,1200,баллон горючего
id,napalm_mix,1500,напалмовая смесь
id,ammo_belt,2500,пулемётная лента

# --- инструмент ---------------------------------------------------------------
id,lighter,25,зажигалка
id,chalk,50,мел
id,flashlight,350,фонарь
id,radio_headset_liquidator,400,гарнитура
id,fog_detector,600,детектор тумана
id,slime_scraper,600,скребок
id,radio,800,рация
id,cleanup_tongs,900,щипцы
id,ip4_gasmask,900,противогаз ИП-4
id,liquidator_flashlamp,900,прожектор ликвидатора
id,unpeople_detector,700,детектор нелюдей
id,uv_spotlight,1200,ультрафиолет
id,cleaning_kit,1200,набор для чистки
id,door_kit,2500,дверной набор
id,block_kit,3000,набор блоков
id,vacuum,6000,пылесос
id,jackhammer,22000,отбойный молоток

# --- бутыли, названные поимённо -----------------------------------------------
id,acid_bottle,700,бутыль кислоты
id,alcohol_bottle,700,бутыль спирта

# --- ТЕГИ: 265 предметов MISC — это в основном КАНЦЕЛЯРИЯ ---------------------
# Замерено по data/items.csv: document 81, evidence 57, audit 37, official 32,
# permit 18, archive 11. Гигахрущ бюрократический, и бумага весит как бумага.
tag,coupon,10,талон — один лист
tag,document,20,справка/форма/наряд — лист-другой
tag,permit,20,допуск
tag,forgery,20,подделка
tag,evidence,150,вещдок в пакете
tag,archive,250,архивная папка
tag,sample,250,проба в пробирке
tag,reagent,300,реактив
tag,slime,400,склянка со слизью
tag,paint,400,баллон краски
tag,electronics,500,электроника
tag,trophy,800,трофей

# --- КАТЕГОРИИ: последняя линия обороны --------------------------------------
category,NOTE,10,записка
category,KEY,30,ключ
category,MEDICINE,120,шприц/бинт/таблетки
category,MISC,200,мелочь без тегов
category,AMMO,250,боеприпас без строки выше
category,FOOD,400,паёк
category,DRINK,600,ёмкость с питьём
category,TOOL,800,инструмент без строки выше
category,WEAPON,2500,оружие без строки выше
