id,name_ru,name_en,category,value_rub,stack_max,stack_declared,spawn_w_milli,spawn_rooms,spawn_count_max,equip_slot,durability,resist_kinetic,resist_buckshot,resist_energy,resist_fire,resist_psi,science_value,contraband_score,deceptive_score,use_effect,use_a,use_b,use_grant_id,use_grant_n,ammo_id,craft_mechanics,craft_electronics,craft_consumables,craft_bio,craft_chemical,craft_metal,craft_psimatter,craft_metamatter,craft_station,craft_tier,tag_count,tags_hot,tags_all,desc_ru,mass_g,light_radius_mm,light_intensity_e3,light_cone_deg,flicker
ammo_rifle_coupon,Талон на винтовочные патроны,Rifle cartridge coupon,MISC,96,4,4,180,HQ|OFFICE,1,None,,,,,,,,,,RedeemCoupon,,,ammo_762,6,,0,0,8,0,0,0,0,0,workbench,1,8,document|liquidator|official|single_use,ammo_762|coupon|document|liquidator|official|rifle|single_use|weapon_permit,Закрытая бумага на малую выдачу 7.62. Погасить на шесть патронов или беречь для оружейного окна.,10,0,0,0,none
ammo_shells,Дробь,Shot,AMMO,12,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,Дробовые патроны для коридорных стволов,45,0,0,0,none
anti_spore_inhaler,Противоспоровый ингалятор,Anti-spore inhaler,MEDICINE,85,255,,550,MEDICAL|STORAGE,1,None,,,,,,,,,,Heal,24,,,,,0,0,3,0,5,0,0,0,lab,1,3,medicine,medicine|respiratory|spore_counterplay,"Разовый баллончик для мокрых коридоров и грибной пыли. Не делает воздух чистым, только даёт выйти из него живым.",120,0,0,0,none
antibiotic,Антибиотик,Antibiotic,MEDICINE,70,255,,1000,MEDICAL,1,None,,,,,,,,,,Heal,35,,,,,0,0,3,0,5,0,0,0,lab,1,3,medicine,antibiotic|medicine|triage,"Таблетки против обычной грязи. В карантине это не лечение, а выбор очереди.",120,0,0,0,none
antidep,Антидепрессант,Antidepressant,MEDICINE,95,255,,700,MEDICAL,1,None,,,,,,,,,,HealPsi,0,12,,,,0,0,3,0,5,0,0,0,lab,1,3,medicine,medicine|psi_restore|rare,"Редкая таблетка после ПСИ-срывов и плохих вылазок. +12 ПСИ, HP не лечит.",120,0,0,0,none
antiemetic,Противорвотное,Antiemetic,MEDICINE,24,255,,750,MEDICAL,2,None,,,,,,,,,,Antiemetic,8,,,,,0,0,2,0,3,0,0,0,lab,0,3,medicine,food_safety|medicine|nausea,"Малая таблетка после плохой еды, лифта и запаха сырого мяса. Спасает ужин ценой аптечного запаса.",120,0,0,0,none
antifungal_ointment,Противогрибковая мазь,Antifungal Ointment,MEDICINE,55,255,,1000,MEDICAL|BATHROOM,1,None,,,,,,,,,,Heal,20,,,,,0,0,2,0,3,0,0,0,lab,0,5,counterplay|medicine,counterplay|fungus|fungus_counterplay|medicine|spore_counterplay,"Жирная мазь от грибкового зуда, спор и подвальных компромиссов. Лечит мало, снимает споровую муть и остаётся страховкой грибных маршрутов.",120,0,0,0,none
archive_access_permit,Допуск в архив,Archive Clearance,MISC,85,1,,1000,OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,7,access|document|document_gate|official|permit,access|archive|document|document_gate|ministry|official|permit,Короткий пропуск к картотеке райсовета.,20,0,0,0,none
arena_gold_trophy,Золотой Кубок Арены,,MISC,1500,1,1,0,,1,None,,,,,,,,,,None,,,,,,8,0,16,0,0,0,0,0,workbench,2,2,,arena_reward|trophy,Тяжелый кубок из переплавленного металла мутантов. Доказательство абсолютного доминирования на Арене. Ликвидаторы смотрят на него с уважением.,800,0,0,0,none
armor_cultist,Ряса Культиста,,MISC,2000,1,,15000,COMMON|MEDICAL,1,Armor,,10,10,40,0,75,,,,None,,,,,,8,0,16,0,0,0,0,0,workbench,2,0,,,"Странная ткань, пропитанная неизвестным составом. Защищает от ПСИ-воздействия.",6000,0,0,0,none
armor_heavy,Тяжёлая броня,,MISC,3000,1,,10000,PRODUCTION,1,Armor,,60,70,30,20,0,,,,None,,,,,,8,0,16,0,0,0,0,0,workbench,2,0,,,"Толстые пластины, способные выдержать сильный урон.",14000,0,0,0,none
armor_light,Лёгкая броня,,MISC,500,1,,50000,COMMON|PRODUCTION,1,Armor,,20,30,0,5,0,,,,None,,,,,,5,0,11,0,0,0,0,0,workbench,2,0,,,Базовая защита от кинетического урона и дроби.,4000,0,0,0,none
armor_liquidator,Броня Ликвидатора,,MISC,4500,1,,5000,PRODUCTION,1,Armor,,80,85,20,15,5,,,,None,,,,,,8,0,16,0,0,0,0,0,workbench,2,0,,,"Высочайшая защита от пуль и картечи, создана для штурмов.",11000,0,0,0,none
armor_medium,Средняя броня,,MISC,1200,1,,30000,MEDICAL|PRODUCTION,1,Armor,,40,50,15,10,0,,,,None,,,,,,5,0,11,0,0,0,0,0,workbench,2,0,,,Надежная защита для патрулей. Тяжеловата.,8000,0,0,0,none
asbestos_cord,Асбестовая верёвка,Asbestos rope,MISC,24,1,,1000,PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,2,0,3,0,0,0,0,0,workbench,0,6,repair,cold_counter|heatline|hermetic|repair|seal_input|steam,"Жёсткая верёвка для гермодверей, паровых швов и вентилей. На Теплотрассе Ноль и в хладонном кармане тратится вместе с герметиком.",200,0,0,0,none
ato41_atomic_flamer,АТО-41,ATO-41,WEAPON,150000,2,2,0,,1,Weapon,,,,,,,,,,None,,,,,ato41_atomic_flamer,20,20,0,0,34,27,0,27,net_terminal,4,10,liquidator|weapon,atomic|collateral|darkness_route|deletion_beam|door_cutter|flame|liquidator|slime_counterplay|unique_reward|weapon,"Атомный огнемёт с двумя герметичными секциями. Режет короткую линию двери, слизи и цели; добыча в луче сгорает вместе с оправданием.",26000,0,0,0,none
axe,Топор,Axe,WEAPON,150,1,,1000,PRODUCTION,1,Weapon,,,,,,,,,,None,,,,,,4,0,0,0,0,4,0,0,lathe,1,0,,,Пожарный топор. Урон 34. Короткий сильный удар с долгим возвратом. Прочность 65,1200,0,0,0,none
ballot,Бюллетень,Ballot,MISC,1,1,,1000,OFFICE|COMMON|LIVING|CORRIDOR,1,None,,,,,,,,,,None,,,,,,0,0,1,0,0,0,0,0,workbench,0,0,,,"Избирательный бюллетень. Галочка стоит заранее, но очередь всё равно нужна.",200,0,0,0,none
bandage,Бинт,Bandage,MEDICINE,10,255,,1000,MEDICAL|BATHROOM,3,None,,,,,,,,,,Heal,15,,,,,0,0,1,0,2,0,0,0,lab,0,0,,,"Рулон бинта с больничной пылью. Малое лечение, которое нужно сразу после пореза.",120,0,0,0,none
bank_debt_paper,Долговая бумага банка,Bank Debt Paper,MISC,80,1,,700,OFFICE|HQ,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,7,access|audit|document|official,access|audit|banking|debt|debt_paper|document|official,"Официальная банковская строка: сумма, подпись, срок и намек на служебный вход для должника.",20,0,0,0,none
barrel_part,Заготовка ствола,Barrel blank,MISC,80,3,3,1000,PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,3,0,0,0,0,5,0,0,lathe,1,6,production,armory|barrel|metal|production|repair_input|weapon_component,Сырая оружейная трубка без права на ошибку. Оружейник пустит её в ЧИЖ-3 или переборку автомата.,200,0,0,0,none
bayonet,Штык,Bayonet,WEAPON,105,1,,750,HQ|STORAGE,1,Weapon,,,,,,,,,,None,,,,,,3,0,0,0,0,5,0,0,lathe,1,5,liquidator|weapon,issue_gear|liquidator|melee_reach|metal|weapon,"Уставной штык из шкафов зачистки. Урон 13. Дальше ножа, слабее топора; можно украсть как оружие или сдать как железо. Прочность 65",300,0,0,0,none
bfg,БФГ-9000,BFG-9000,WEAPON,180000,1,,0,,1,Weapon,,,,,,,,,,None,,,,,ammo_energy,21,50,0,0,7,29,0,21,net_terminal,4,0,,,Тяжёлый опытный ствол НИИ. Урон 270 по большой площади. Энергоячейки исчезают вместе с комнатой,18000,0,0,0,none
black_market_shells,Чёрнорыночная дробь,Black market fraction,AMMO,42,12,12,0,,1,None,,,,,,,,,,Unpack,,,ammo_shells,4,,0,0,0,0,1,2,0,0,lathe,0,8,ammo|audit|black_market|contraband|weapon,ammo|audit|black_market|contraband|illegal_ammo_smelter|shells|shotgun|weapon,"Дробовые патроны с перебитым учётом. E: переложить в обычный подсумок, потеряв часть доказательств.",45,0,0,0,none
blank_form,Пустой бланк,Blank Form,MISC,10,1,,1000,OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,"Чистый бланк под заявление, пропуск или подделку. Печать решает цену.",200,0,0,0,none
bleached_document,Выбеленная бумага,Bleached Paper,MISC,0,1,,0,,1,None,,,,,,,,,,None,,,,,,0,0,1,0,0,0,0,0,workbench,0,3,,documents|spoiled|veretar,Документ после контакта с белым песком. Текст почти ушёл; как пропуск больше не годится.,200,0,0,0,none
block_kit,Комплект блока,Block Kit,TOOL,400,1,,1000,STORAGE|PRODUCTION,1,Tool,1,,,,,,,,,None,,,,,,6,0,1,0,0,4,0,0,workbench,1,0,,,"Устанавливает один блок стены. Закрывает проход, если оборону держать нечем",3000,0,0,0,none
blue_glow_sample_open,Открытый синий образец,Opened Blue Sample,MISC,90,1,1,0,,1,None,,,,,,,,,,PsiSurge,18,-8,,,,0,0,1,4,2,0,1,0,lab,1,0,,,"Синяя проба без гермы. Дает короткий прилив, но пачкает руки, журнал и ближайший протокол.",200,0,0,0,none
blue_glow_sample_sealed,Герметичный синий образец,Sealed Blue Sample,MISC,420,1,1,0,,1,None,,,,,,,,,,UnsealSample,-6,,blue_glow_sample_open,1,,0,0,2,7,4,0,3,0,lab,2,0,,,Запаянная ампула с голубым свечением. НИИ платит за целую герму и чистый журнал эксперимента.,200,0,0,0,none
blueprint_t1_folder,Папка чертежей Т1,Folder of drawings T1,MISC,46,3,3,600,OFFICE|STORAGE|LIVING,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,7,access|document|production,access|blueprint|document|paper|production|recipe|tier1,"Папка простых схем для слесаря: полка, корпус, дверная мелочь. Можно продать, сдать в цех или оставить под заказ.",20,0,0,0,none
blueprint_t2_folder,Папка чертежей Т2,Folder of drawings T2,MISC,140,2,2,220,OFFICE|STORAGE|PRODUCTION,1,None,,,,,,,,,,None,,,,,,1,3,4,0,0,0,0,0,net_terminal,1,10,access|document|production,access|blueprint|document|fibrous_capsule|paper|production|recipe|terminal|tier2|valuable,"Плотная папка улучшенных схем. Цех просит ресурс, рынок просит молчание, терминал читает фиброзную капсулу.",20,0,0,0,none
blueprint_t3_folder,Папка чертежей Т3,Folder of drawings T3,MISC,420,1,1,0,,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,11,access|document|production,access|blueprint|deep_route|document|frozen|paper|production|rare|recipe|tier3|valuable,Редкий комплект глубоких схем с холодными пятнами на бумаге. Держите отдельно от воды и лишних свидетелей.,20,0,0,0,none
body_bag_roll,Рулон мешков для тел,Roll of body bags,MISC,58,4,4,450,HQ|MEDICAL,1,None,,,,,,,,,,None,,,,,,1,0,2,1,1,0,0,0,workbench,0,7,cleanup|evidence|liquidator|medical|samosbor|trade,cleanup|corpse|evidence|liquidator|medical|samosbor|trade,"Плотный санитарный рулон после отбоя. Им закрывают тело или отчёт: сдать ликвидатору, спрятать след или продать медпосту.",150,0,0,0,none
boiled_slime_residue,Вываренный остаток слизи,Boiled mucus residue,MISC,82,4,4,0,,1,None,,,,,,,,,,None,,,,,,0,0,2,2,4,0,0,0,lab,1,9,cleanup|evidence|nii|reagent|sample|slime|trade,boiled|cleanup|evidence|heat_counter|nii|reagent|sample|slime|trade,Сухая корка после кипятка и санитарного жара. НИИ берёт её как доказательство прожига; рынок берёт дешевле и без вопросов.,150,0,0,0,none
boiler_water,Кипяток,Boiling Water,DRINK,3,255,,1000,KITCHEN|COMMON,10,None,,,,,,,,,,Drink,16,,,,,0,0,1,0,1,0,0,0,any,0,0,,,"Мертвая вода. Кипячение убило споры, но оставило густой привкус машинного масла.",600,0,0,0,none
book,Книга,Book,MISC,3,1,,1000,LIVING|COMMON|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,2,0,0,0,0,0,workbench,0,0,,,"Потрёпанный том. Читают редко, меняют часто",200,0,0,0,none
borrowed_kitchen_key,Заёмный кухонный ключ,Borrowed Kitchen Key,MISC,28,1,,1000,KITCHEN|STORAGE,1,None,,,,,,,,,,None,,,,,,2,0,3,0,0,0,0,0,workbench,0,0,,,"Ключ с биркой общей кухни. Вернуть просили до сирены, но бирка уже врёт.",200,0,0,0,none
bottle_empty,Бутылка,Bottle,MISC,2,12,12,1000,KITCHEN|LIVING|STORAGE,12,None,,,,,,,,,,None,,,,,,0,0,0,0,1,0,0,0,lab,0,7,reagent|resident_good|trade,brewing|container|factory_input|reagent|resident_good|trade|water_container,"Пустая кухонная бутылка. Стащить, купить у повара или оставить на брагу: тара дешевле воды, пока её не попросил цех.",300,0,0,0,none
bottled_voice,Голос в банке,Voice in a Jar,MISC,250,1,,1000,STORAGE|OFFICE,1,None,,,,,,,,,,None,,,,,,2,0,5,0,0,0,4,0,lab,1,4,evidence|psi,evidence|psi|rare_trophy|voice,Запечатанная банка с голосовой аномалией. Жан принимает только закрытую крышку.,150,0,0,0,none
braga_bucket,Ведро браги,Bucket of mash,MISC,95,1,1,120,KITCHEN|SMOKING|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,3,1,4,0,0,0,workbench,1,7,black_market|contraband|trade,black_market|brewing|contraband|factory_output|food|kitchen|trade,"Тяжёлое ведро сладкой браги. Ещё не самогон, уже статья разговора.",200,0,0,0,none
brass_knuckles,Кастет,,WEAPON,90,1,,100,LIVING|STORAGE,1,Weapon,,,,,,,,,,None,,,,,,3,0,0,0,0,5,0,0,lathe,1,3,contraband|weapon,contraband|melee|weapon,"Самодельный свинцовый кастет. Весит карман, бьёт кость. Прочность 80",400,0,0,0,none
breach_charge,Пробивной заряд,Breakdown charge,WEAPON,740,2,2,45,HQ|PRODUCTION,1,Weapon,,,,,,,,,,None,,,,,breach_charge,4,0,0,0,7,5,0,0,lathe,2,9,liquidator|weapon,biomass|breach|collateral|door_work|engineer|grenade|liquidator|self_ammo|weapon,"Инженерная шашка для двери, биомассы и плохой стены. Урон 130 по малой площади. Шум слышит весь этаж.",2000,0,0,0,none
bread,Хлеб,Bread,FOOD,3,255,,1000,KITCHEN|STORAGE,10,None,,,,,,,,,,Feed,15,,,,,0,0,1,1,0,0,0,0,any,0,3,bait,bait|bait_stale|bait_starch,"Чёрствый пайковый ломоть. Сухой настолько, что им можно подпереть жалобу.",400,0,0,0,none
brown_slime_cleanup_act,Акт зачистки коричневой слизи,Brown Slime Cleanup Act,MISC,18,1,,0,,1,None,,,,,,,,,,None,,,,,,0,0,1,1,1,0,0,0,workbench,0,0,,,"Мокрый акт санобработки. Пахнет щёлоком, трубной слизью и чужим доверием.",200,0,0,0,none
brt2_foam_projector,БРТ-2 бетономёт,BRT-2 concrete thrower,WEAPON,3100,1,,0,,1,Weapon,,,,,,,,,,None,,,,,foam_grenade_6p10,4,2,0,0,10,8,0,0,lathe,2,9,liquidator|weapon,control|engineer|foam|foam_grenade_ammo|immobilizer|liquidator|projector|rare_engineer_crate|weapon,"Инженерный пенобетонный проектор. Урон 12 по малому пятну. Заряжается 6П10: украсть из серого ящика, прижать проход или сбить темп самосбора.",4800,0,0,0,none
burn_gel,Противоожоговый гель,Anti-burn gel,MEDICINE,46,255,,750,MEDICAL|HQ|STORAGE,1,None,,,,,,,,,,Heal,22,,,,,0,0,2,0,3,0,0,0,lab,0,3,medicine,burn|medicine|slime_counterplay,"Холодный гель после огня, кислоты и слишком уверенной пробы. Нанести сейчас дешевле, чем объяснять ожог врачу.",120,0,0,0,none
calm_brew,Успокоительный отвар,Calming Brew,DRINK,18,255,,800,MEDICAL|KITCHEN,2,None,,,,,,,,,,HealPsi,0,5,,,,0,0,2,0,1,0,0,0,workbench,0,3,,common|drink|psi_restore,"Тёплый отвар из аптечной кружки. Горчит так, будто знает диагноз. +5 ПСИ.",600,0,0,0,none
camera,Фотоаппарат,,MISC,140,1,1,200,LIVING|OFFICE,1,None,,,,,,,,,,None,,,,,,1,3,2,1,1,0,0,0,workbench,1,3,contraband|electronics|trade,contraband|electronics|trade,"Старая мыльница со вспышкой. Снимает плохо, но для компромата или доказательств хватает.",500,0,0,0,none
canned,Тушёнка,Tinned Stew,FOOD,10,255,,1000,KITCHEN|STORAGE,3,None,,,,,,,,,,Feed,30,,,,,0,0,1,2,0,0,0,0,workbench,0,3,bait,bait|bait_meat|bait_sealed,Мясная консерва без лишних вопросов к мясу. Крышка честнее этикетки.,400,0,0,0,none
caravan_route,Маршрут каравана,Caravan Route,MISC,65,1,,1000,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,0,,,Список дверей и остановок снабжения. Караванщики платят за рабочий маршрут.,200,0,0,0,none
card_deck,Колода карт,Deck of cards,MISC,22,1,1,550,COMMON|SMOKING|LIVING|KITCHEN,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,4,resident_good|trade,cards|durak|resident_good|trade,"Засаленная колода для кухонного дурака, долговой паузы и разговора, который проще вести через козыри.",200,0,0,0,none
cardboard_stack,Картон,Cardboard,MISC,3,20,20,1000,LIVING|STORAGE|OFFICE,10,None,,,,,,,,,,None,,,,,,0,0,2,0,0,0,0,0,workbench,0,3,resident_good,material|paper|resident_good,"Стопка картона для коробок, табличек и тихого подкладывания под шаткий шкаф.",200,0,0,0,none
ceramic_shards_pack,Керамика,Ceramics,MISC,8,12,12,800,BATHROOM|STORAGE|PRODUCTION,4,None,,,,,,,,,,None,,,,,,0,0,2,0,0,0,0,0,workbench,0,5,production|trade,ceramic|insulation|material|production|trade,"Пакет белой керамики из автомагазина: изолятор, осколок, доказательство бытового прогресса.",200,0,0,0,none
chain,Цепь,Chain,WEAPON,60,1,,1000,PRODUCTION|STORAGE,1,Weapon,,,,,,,,,,None,,,,,,2,0,0,0,0,3,0,0,lathe,0,0,,,"Ржавая цепь. Урон 14. Длинная, быстрая для своей длины и неровная. Прочность 75",1800,0,0,0,none
chainsaw,Бензопила,Chainsaw,WEAPON,3200,1,,1000,PRODUCTION,1,Weapon,,,,,,,,,,None,,,,,ammo_fuel,11,0,0,0,0,13,0,0,lathe,2,0,,,Бензопила. Урон 42. Паническая мясорубка на несколько ударов. Прочность 14,6000,0,0,0,none
chalk,Мелок,Chalk,TOOL,6,1,1,900,LIVING|COMMON|OFFICE|STORAGE,1,Tool,180,,,,,,,,,None,,,,,,1,0,0,0,0,1,0,0,workbench,0,4,tool|trade,map_mark|route_marker|tool|trade,"Короткий цветной мелок. Зажмите R: оставляет тонкую пиксельную метку под ногами, видимую на карте.",50,0,0,0,none
checkers_board,Шашки,Checkers,MISC,30,1,1,440,COMMON|LIVING|KITCHEN|SMOKING,1,None,,,,,,,,,,None,,,,,,1,0,4,0,0,0,0,0,workbench,0,4,resident_good|trade,checkers|resident_good|table_game|trade,"Стертая деревянная доска с набором шашек. Коробка не сохранилась, шашки перетянуты канцелярской резинкой.",200,0,0,0,none
chernobog_cell_map,Схема ячеек ЧБ-0,ChB-0 Cell Diagram,MISC,180,1,,0,,1,None,,,,,,,,,,None,,,,,,4,0,7,0,0,0,0,0,workbench,1,5,evidence,archive|chernobog|cult|evidence|witness,Карта центральной и внешней ячеек. Пустые адреса отмечены пустыми; рядом вписаны свидетели и время обхода.,150,0,0,0,none
chernobog_confiscation_act,Акт изъятия черной ладони,Black Palm Seizure Act,MISC,150,1,,0,,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,5,evidence,archive|chernobog|cult|evidence|witness,Изъят предмет: дощечка с черной ладонью. Свидетель записан в приложение Б.,150,0,0,0,none
chernobog_external_cell_index,Индекс внешней ячейки,External Cell Index,MISC,130,1,,0,,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,5,evidence,archive|chernobog|cult|evidence|witness,"Список жильцов с графой ""не культ"". У половины графа заполнена чужим почерком.",150,0,0,0,none
chernobog_liquidator_memo,Памятка ликвидатора ЧБ,Liquidator ChB Memo,MISC,160,1,,0,,1,None,,,,,,,,,,None,,,,,,4,0,7,0,0,0,0,0,workbench,1,5,evidence,archive|chernobog|cult|evidence|witness,"Приказ различать культ, очередь и совпадение. Подписант оставил только номер.",150,0,0,0,none
