situation,faction,text_ru
HUNGER,LIQUIDATORS,"Голодный боец стреляет чаще и мимо."
HUNGER,CULTISTS,"Голод учит терпению. Терпение открывает двери."
HUNGER,CULTISTS,"Хлеб отдай тому, кто у двери. Себе оставь тишину."
HUNGER,SCIENTISTS,"Голод портит выборку. Записываю как отклонение."
HUNGER,SCIENTISTS,"На пустой желудок прибор врёт больше, чем лаборант."
HUNGER,WILD,"Найду еду — не спрошу, чья."
HUNGER,WILD,"Голодный человек торгуется быстро и грубо."
THIRST,ANY,"Фильтр сухой. Во рту бетон."
THIRST,ANY,"Кран кашлянул ржавым и стих."
THIRST,ANY,"Воду кипятим дважды, если найдём."
THIRST,ANY,"Бидон пустой, очередь настоящая."
THIRST,ANY,"Стояк плюнул жёлтым. Не пей."
THIRST,ANY,"Губы треснули, а талон сухой."
THIRST,ANY,"Без воды язык липнет к зубам, а разговоры становятся короче."
THIRST,ANY,"Пить надо до жажды. Потом руки трясутся."
THIRST,CITIZENS,"Талон есть, ведро есть, воды нет. Самый обычный набор."
THIRST,CITIZENS,"У водоразбора снова драка. Я туда без понятых не пойду."
THIRST,LIQUIDATORS,"Фляга пустая. Доложу после сектора, не сейчас."
THIRST,CULTISTS,"Воду поделим у двери. Первым пьёт тот, кто держал."
THIRST,SCIENTISTS,"Обезвоживание сначала врёт про давление, потом про меня."
THIRST,WILD,"Отдай воду — и разойдёмся тихо."
SLEEP,ANY,"Глаза сохнут. Я уже слышу шаги, которых нет."
SLEEP,ANY,"Вторая смена подряд. Дальше я начну спорить со стеной."
SLEEP,ANY,"Лампа гудит ровно, и от этого клонит."
SLEEP,ANY,"Постоять бы у тёплой трубы, только не садиться."
SLEEP,ANY,"Сон здесь берут в долг, а отдают дежурством."
SLEEP,ANY,"Кто не спал, тот открывает дверь первым. Из вежливости."
SLEEP,CITIZENS,"Ребёнок наконец уснул. Я — нет."
SLEEP,LIQUIDATORS,"Смену закрою — тогда лягу. Раньше не пиши в журнал."
SLEEP,CULTISTS,"Уснёшь у двери — разбудим до сирены."
SLEEP,SCIENTISTS,"Без сна почерк едет, и выводы вместе с ним."
SLEEP,WILD,"Спать в чужой секции — это уже не отдых."
RELIEF,ANY,"Мне бы до сортира, а не до разговора."
RELIEF,ANY,"Терпеть можно, но недолго и молча."
RELIEF,ANY,"Куда тут ходят? Только не говори, что в ведро."
RELIEF,ANY,"Живот крутит. Дальше беседа будет короткой."
RELIEF,ANY,"Очередь к сортиру честнее очереди за водой."
RELIEF,CITIZENS,"Соседи заняли, а я тут стою как виноватый."
RELIEF,LIQUIDATORS,"Отойду на минуту. Сектор за тобой."
RELIEF,SCIENTISTS,"Физиология не согласована с протоколом. Отойду."
WOUNDED,ANY,"Меня задело. Нужен бинт, а не разговор."
WOUNDED,ANY,"Кровь пошла сильнее. Нужен бинт и место у стола."
WOUNDED,ANY,"Кто последний к бинту? Я не герой, я просто протекаю."
WOUNDED,ANY,"Рану сначала прижать. Гордыню перевяжем потом."
WOUNDED,ANY,"Ещё одна дырка, и меня можно сдавать как решётку."
WOUNDED,CITIZENS,"Бинты несите! Только не тратьте талонные!"
WOUNDED,CITIZENS,"Зажми рану ветошью! Врач за три сектора отсюда!"
WOUNDED,CITIZENS,"Кровь на бетон не капай, запах тварей привлечёт!"
WOUNDED,CITIZENS,"Помогите, я свою пайку отдам!"
WOUNDED,LIQUIDATORS,"Санитар, жгут давай! И не пиши в рапорт!"
WOUNDED,LIQUIDATORS,"Броня пробита. Вколи обезбол и работаем дальше."
WOUNDED,LIQUIDATORS,"Я трёхсотый! Прикройте, отползаю!"
WOUNDED,LIQUIDATORS,"Не списывай меня, фильтр ещё цел!"
WOUNDED,CULTISTS,"Моя кровь окропила святой бетон."
WOUNDED,CULTISTS,"Не тратьте на меня чистую воду, отдайте алтарю."
WOUNDED,CULTISTS,"Я слышу зов труб. Они поют мне."
WOUNDED,CULTISTS,"Прижми рану знаком, вера исцелит!"
WOUNDED,SCIENTISTS,"Коли коагулянт, быстрее!"
WOUNDED,SCIENTISTS,"Пробита защита класса Б. Запиши время контакта!"
WOUNDED,SCIENTISTS,"Мне плевать на мою руку, контейнер цел?"
WOUNDED,SCIENTISTS,"Теряю сознание. Спасайте данные!"
WOUNDED,WILD,"Дайте тряпку перемотать!"
WOUNDED,WILD,"Бросите меня — с того света достану!"
WOUNDED,WILD,"Оттащите в угол, хабар мой не трогать!"
WOUNDED,WILD,"Дайте стимулятор, я ещё постреляю!"
FEAR,ANY,"Назад! В вентиляции кто-то скребётся."
FEAR,ANY,"Вы слышали? Этот звук как мокрое мясо по бетону."
FEAR,ANY,"Тихо. Там, в темноте, перестук сменился шагами."
FEAR,ANY,"Лампы мигают. Оно уже в нашем блоке."
FEAR,ANY,"Фильтр почернел за минуту! Уходим, пока мы ещё люди!"
FEAR,ANY,"Слишком тихо. Тут либо всех увели, либо журнал не дошёл."
FEAR,ANY,"Не стой в луже под мигающей лампой."
FEAR,ANY,"Если из трубы зовут по фамилии, не отвечай."
FEAR,CITIZENS,"Я только за водой вышел. Уводите детей!"
FEAR,CITIZENS,"В секцию, быстро! И дверь на засов!"
FEAR,LIQUIDATORS,"Доклад позже. Сначала отход по коридору."
FEAR,LIQUIDATORS,"Сектор не держится. Отходим к герме."
FEAR,CULTISTS,"Не оборачивайся. Идём молча."
FEAR,CULTISTS,"Оно ищет голос. Значит, молчим."
FEAR,SCIENTISTS,"Показания вне шкалы. Отходим и не спорим."
FEAR,SCIENTISTS,"Бросай пробу. Данные потом, дверь сейчас."
FEAR,WILD,"Хабар бросай, ноги дороже."
FEAR,WILD,"Я в туман не пойду. Иди сам, если смелый."
COMBAT,ANY,"Стреляй или уходи, третьего тут нет!"
COMBAT,ANY,"Держи угол, я по центру!"
COMBAT,ANY,"Не в спину своим!"
COMBAT,CITIZENS,"Отойди от наших пайков!"
COMBAT,CITIZENS,"Не трогай герму, мы тут живём!"
COMBAT,CITIZENS,"Трубами клянусь, мы пустые!"
COMBAT,CITIZENS,"Уходите, у нас талонов нет!"
COMBAT,CITIZENS,"Мужики, умоляю, не стреляйте у кухни!"
COMBAT,LIQUIDATORS,"Оружие на пол! Работает ликвидация!"
COMBAT,LIQUIDATORS,"Контур зачищен! Проверяй углы!"
COMBAT,LIQUIDATORS,"Коротко бей, береги казённые патроны!"
COMBAT,LIQUIDATORS,"Отходи за меня, я крою сектор!"
COMBAT,LIQUIDATORS,"Фильтры опустить! Сейчас запахнет горелым!"
COMBAT,LIQUIDATORS,"Цель подтверждена. В расход."
COMBAT,CULTISTS,"Изыди, неверная плоть!"
COMBAT,CULTISTS,"Во славу Великого Бетона, сокрушим их!"
COMBAT,CULTISTS,"Их кровь напоит пересохшие трубы!"
COMBAT,CULTISTS,"Кто тронет священный знак, станет цементом!"
COMBAT,CULTISTS,"Мы несём слово, а вы пожнёте сталь!"
COMBAT,SCIENTISTS,"Образец под угрозой! Защищайте контейнер!"
COMBAT,SCIENTISTS,"Не цельтесь в биоматериал, стреляйте по ногам!"
COMBAT,SCIENTISTS,"Зафиксирована аномальная агрессия, протокол защиты!"
COMBAT,SCIENTISTS,"Службе безопасности зачистить сектор!"
COMBAT,SCIENTISTS,"Мне нужны их останки целыми для комиссии!"
COMBAT,WILD,"Снимай противогаз, и может выживешь!"
COMBAT,WILD,"Консервы и талоны на пол, живо!"
COMBAT,WILD,"Кончай его, у него фильтр свежий!"
COMBAT,WILD,"Отдавай воду и проваливай в туман!"
COMBAT,WILD,"Режь их! Патронов не трать!"
HIDE,ANY,"Сирена! К герме, и чтобы ни звука!"
HIDE,ANY,"Дверь заваривать, щели наглухо!"
HIDE,ANY,"Если в дверь поскребутся голосом твоей матери, молчи!"
HIDE,ANY,"Туман пошёл из труб! Всем на пол, глаза в бетон!"
HIDE,ANY,"Уплотнитель держи! И молись, чтобы цикл был коротким."
HIDE,ANY,"Отбой только по зелёному табло. На стук не открывать!"
HIDE,ANY,"Перед самосбором смелые тоже проверяют ближайшую герму."
HIDE,CITIZENS,"Все в блок, герметик готовь!"
HIDE,CITIZENS,"Двери задраивай! Не пускать даже с талонами!"
HIDE,CITIZENS,"Тряпками щели затыкай, туман уже на этаже!"
HIDE,CITIZENS,"Не дыши так громко, оно слышит!"
HIDE,CITIZENS,"Если лампа замигает, ложитесь на пол и молчите!"
HIDE,LIQUIDATORS,"Отряд, консервируемся! Фильтры на максимум!"
HIDE,LIQUIDATORS,"Проверить замки гермы! Оружие на изготовку!"
HIDE,LIQUIDATORS,"Внимание, код Самосбор. Установить блокировку сектора!"
HIDE,LIQUIDATORS,"Держать периметр внутри гермы! Радиомолчание!"
HIDE,LIQUIDATORS,"Кто начнёт паниковать, ответит после отбоя!"
HIDE,CULTISTS,"Алтарная комната закрывается! Молитесь!"
HIDE,CULTISTS,"Бетон защитит нас, если наши помыслы чисты!"
HIDE,CULTISTS,"Прячьте святыни, скверна ползёт по вентиляции!"
HIDE,CULTISTS,"Падайте ниц перед гермодверью!"
HIDE,CULTISTS,"Свечи гасить! Тьма укроет нас от тумана!"
HIDE,SCIENTISTS,"Герметизация боксов! Спасайте в первую очередь образцы!"
HIDE,SCIENTISTS,"Задраить люки лаборатории! Давление в норме!"
HIDE,SCIENTISTS,"Изолировать органику! Вентиляцию на рециркуляцию!"
HIDE,SCIENTISTS,"Биометрия отключена! Никого не пускать!"
HIDE,SCIENTISTS,"Записывайте показатели аномалии, пока герма держит!"
HIDE,WILD,"Прячемся! Эта дрянь сожрёт всех!"
HIDE,WILD,"Хабар в кучу, сами по углам!"
HIDE,WILD,"Кто пикнет, вылетит в коридор!"
HIDE,WILD,"Дверь подоприте, пусть жрёт бетон!"
HIDE,WILD,"Свет вырубай, затаились!"
FOG,ANY,"Не двигайся. Пока туман считает, лучше быть мебелью."
FOG,ANY,"Стена была там. Теперь там не стена."
FOG,ANY,"Дышим через тряпку и не спорим."
FOG,ANY,"Оно перебирает коридор, как ящик с бумагами."
FOG,ANY,"Держись за поручень. Пол сейчас не обещание."
FOG,ANY,"Слушай трубу, а не голоса. Голоса врут первыми."
FOG,CITIZENS,"Детей к стене, лицом в угол!"
FOG,LIQUIDATORS,"Радиомолчание. Перекличка после отбоя."
FOG,CULTISTS,"Дом переставляет комнаты. Стой на месте и молчи."
FOG,SCIENTISTS,"Пишу по памяти: прибор уже не считает."
FOG,WILD,"Мешок к груди. Всё остальное потом."
AFTER,ANY,"После отбоя сначала дверь проверь, потом уже людей."
AFTER,ANY,"Самосбор ушёл, а список укрытых опять не сошёлся."
AFTER,ANY,"После сирены я каждому шороху верю, даже если это мой рукав."
AFTER,ANY,"Чужая дверь может выйти на твой коридор. Номер сверяй."
AFTER,ANY,"Отбой был, а у плинтуса ещё фиолетовое. Не наступай."
AFTER,ANY,"После самосбора протокол пахнет йодом, а воды в ведре меньше."
AFTER,CITIZENS,"Пересчитайте своих. Потом уже вещи."
AFTER,LIQUIDATORS,"Сначала чистим проход, потом спрашиваем фамилию."
AFTER,CULTISTS,"Кто вернулся, тот пусть держит дверь следующему."
AFTER,SCIENTISTS,"Повторяющийся след на стене. Это уже образец, а не случайность."
AFTER,WILD,"Смотрим, что плохо лежит, пока никто не считает."
SOCIAL,ANY,"Ты уже воду носил и дверь держал. Это здесь редкая привычка."
SOCIAL,ANY,"Про твою помощь говорят у общего ящика, не только в углу."
SOCIAL,ANY,"Тебе можно верить до следующей гермы. Это больше, чем обычно."
SOCIAL,ANY,"С тобой можно говорить у двери, а не только шёпотом за шкафом."
SOCIAL,ANY,"Я тебя не знаю. Этого достаточно."
SOCIAL,ANY,"Держи руки на виду, и разговор будет короче."
SOCIAL,ANY,"Про тебя ходят слова. Мне пока хватает слов."
SOCIAL,ANY,"Без карты и без свидетеля к журналу не подходи."
SOCIAL,CITIZENS,"Старшая секции тебя записала не в должники, а в тех, кого можно позвать."
SOCIAL,CITIZENS,"Общий ящик открывают при людях. Так меньше вопросов после отбоя."
SOCIAL,LIQUIDATORS,"Свои впереди — ствол вниз, глаза по углам."
SOCIAL,LIQUIDATORS,"Порядок простой: доклад, выстрел, фильтр, отход."
SOCIAL,CULTISTS,"Они помогают тихо, чтобы отказ прозвучал громче."
SOCIAL,CULTISTS,"У чёрной руки хлеб тёплый, но ладонь потом трудно отмыть."
SOCIAL,SCIENTISTS,"Наблюдение ценнее паники, пока паника не быстрее."
SOCIAL,SCIENTISTS,"Комиссия приходит за выводом, а находит мокрый журнал."
SOCIAL,WILD,"Еду кладут на видное место, вопросы держат при себе."
SOCIAL,WILD,"Не смотри в мешок, если не готов платить."
WORK,ANY,"Цех работает, пока в него несут металл, воду и людей на смену."
WORK,ANY,"Станки дают товар медленнее, чем очередь его разбирает."
WORK,ANY,"Линия идёт ровно. Это не хороший знак, просто смена не кончилась."
WORK,ANY,"Мастер сказал не подходить к рукаву без рукавиц."
WORK,ANY,"Новый парень спросил, где кнопка стоп. Ему показали журнал травм."
WORK,ANY,"У щитка сначала ищи сухой пол, потом фазу."
WORK,ANY,"Труба стучит ровно — работаем. Рывками — закрываем кран."
WORK,ANY,"Производство молчит. Значит, сырьё ушло или ящик забит."
WORK,ANY,"Когда цех стоит, цены не стоят."
WORK,ANY,"Неси воду, металл или труд. Станок сам не ест."
WORK,ANY,"План не сняли. Просто норму теперь ищут в карманах смены."
WORK,CITIZENS,"Смена кончится, а очередь останется."
WORK,LIQUIDATORS,"Обход по графику. Журнал потом."
WORK,CULTISTS,"Работа тоже держит дверь. Не хуже молитвы."
WORK,SCIENTISTS,"Данные неоднозначны. Это значит плохо."
WORK,WILD,"Работаю, пока платят. Потом ухожу первым."
