id,name,cpp_name,hardness,albedo_r,albedo_g,albedo_b,texture_id,family,cv,pitch,chroma_sigma,chroma_r,chroma_g,chroma_b,bump_scale,note,density_kg_m3,emissive_e3,light_radius_mm,light_intensity_e3,phase,flow,diffusion,light_transparent
10,shop_shutter,ShopShutter,128,0.38,0.40,0.42,painted_metal_shutter,ribbed,,28.0,0.05,0.9,0.95,1.1,0.4,"roller-shutter slats, 7 cm",7800,0,0,0,solid,0,0,0
11,lino,Lino,40,0.26,0.16,0.12,rubber_tiles,tile,,4.0,0.04,0.95,1.05,0.9,0.2,dark rubber with seams; 50 cm tiles,1200,0,0,0,solid,0,0,0
12,factory_wall,FactoryWall,256,0.22,0.30,0.22,factory_wall,ribbed,,13.0,0.08,0.85,1.15,0.8,0.35,"green corrugated factory metal, 15 cm corrugation",7800,0,0,0,solid,0,0,0
13,tread,Tread,320,0.38,0.24,0.15,metal_grate_rusty,tread,,8.0,0.09,1.15,0.85,0.65,0.3,"walkway grate, 25 cm studs",7800,0,0,0,solid,0,0,0
14,rust,Rust,112,0.40,0.20,0.08,rusty_metal_03,rust,,1.3,0.18,1.25,0.6,0.2,0.25,"thresholded low-frequency patches ~1.5 m; corroded, weaker than fresh steel",5200,0,0,0,solid,0,0,0
15,rubble,Rubble,24,0.22,0.18,0.14,rusty_corrugated_iron,rubble,,6.0,0.15,1.1,0.9,0.7,0.35,chunk plateaus at 33 cm; already broken once; рыхлое: flow 0.1 из угла естественного откоса щебня ~40° — (45−40)/45 ≈ 0.1 бокового растекания при осыпании,1800,0,0,0,solid,0.1,0,0
16,electric_grate,ElectricGrate,384,0.85,0.70,0.15,,tread,0.09,8.0,0.06,1.1,1.0,0.6,0.3,"AUTHORED: electrified floor grate — tread lattice, hot hazard tint",7800,0,0,0,solid,0,0,0
17,acid_pool,AcidPool,16,0.15,0.75,0.12,,smooth,0.10,0.8,0.1,0.8,1.2,0.7,0.05,"AUTHORED: caustic pool surface, broad slicks; жижа ~10 мПа·с → flow = вязкость_воды/вязкость = 0.1",1100,0,0,0,liquid,0.1,0.05,0
18,fire_cell,FireCell,16,0.85,0.25,0.04,,smooth,0.15,1.2,0.12,1.25,0.85,0.5,0.05,AUTHORED: burning floor cell,200,0,0,0,solid,0,0,0
19,pipe_metal,PipeMetal,180,0.13,0.16,0.14,,ribbed,0.10,10.0,0.06,0.95,1.00,1.05,0.30,"AUTHORED: baked wall-pipe runs (antourage) — painted steel conduit, dents and joint rings",7800,0,0,0,solid,0,0,0
20,neon_tube,NeonTube,48,0.25,0.95,0.85,,smooth,0.04,0.0,0.0,1,1,1,0.0,"неоновая трубка — светоматериал: лепи вывески/лампы вокселями, бейк кластеризует в эмиттеры (ddalight.md)",1400,1600,8000,1500,solid,0,0,0
21,glass,Glass,96,0.62,0.70,0.72,,smooth,0.03,1.0,0.02,1,1,1,0.02,"стекло — первый потребитель колонки прозрачности: свет проходит (light_transparent), материя стоит; решение владельца 2026-08-24 (neon-topology.md)",2500,0,0,0,solid,0,0,1
22,toxic_gas,ToxicGas,0,0.35,0.55,0.25,,generic,0.0,0.0,0.0,1,1,1,0.0,удушливый газ шахт — МАТЕРИЯ автомата (S16): плотность хлора ~3 кг/м³ при табличном воздухе 0 — тонет и стелется по полу; diffusion 0.5 = тяжёлый газ ползёт вдвое медленней воздуха-референса; твёрдость 0 — рассеивается любым касанием карва; свету не преграда,3,0,0,0,gas,0,0.5,1
23,asphalt,Asphalt,224,0.09,0.09,0.10,,smooth,0.10,1.1,0.03,1,1,1,0.06,"AUTHORED: дорожное полотно хрущей — тёмный асфальт с широкими латками; твёрдость 224 между slab_tan 192 и concrete 256: битум мягче чистого бетона, полотно уплотнено катком; плотность асфальтобетона ~2300",2300,0,0,0,solid,0,0,0
24,door_steel,DoorSteel,384,0.34,0.36,0.38,,smooth,0.06,1.0,0.02,1,1,1,0.05,"НОВАЯ ДВЕРЬ 2026-08-28: стальное полотно квартирной двери — настоящая материя мира (дверь = зарастание проёма субвокселями); твёрдость 384 между бетоном 256 и unbreakable: полотно ломается упорным карвом, но дольше стены; плотность стали листовой с рёбрами ~2900",2900,0,0,0,solid,0,0,0
25,door_hermetic,DoorHermetic,65535,0.30,0.33,0.31,,smooth,0.05,1.0,0.02,1,1,1,0.04,"НОВАЯ ДВЕРЬ 2026-08-28: гермополотно — неразрушимый материал (hardness 65535 = kHardnessUnbreakable, тот же закон, что extract/hub_pad): гермодверь неразрушима ЕСТЕСТВЕННО, свойством материи, без спец-флагов; модуль сам решает, какой комнате гермо",7800,0,0,0,solid,0,0,0
